filename,extension,size_mb,is_scanned,strategy,pii_fields
5ed9f636-b05a-492f-8771-1c19382c2b01B3A_CEE_V1_fd.pdf,.pdf,0.30898094177246094,False,PyMuPDF,0
d3e00c1d-a5f8-44be-bfce-7efbbc3f67726. Tabla fd.pdf,.pdf,0.1756000518798828,False,PyMuPDF,0
1f844632-213f-4012-a3a7-3f3d97f385a61. Solicitud_coope_fase 2.pdf,.pdf,1.5745277404785156,False,PyMuPDF,0
513c91ef-76e7-4bd7-8cbc-cb0290f840481. Solicitud_coope_fase 2.pdf,.pdf,1.5740289688110352,False,PyMuPDF,0
c8dc3081-3065-4a1e-85bd-de0db0907f531. Solicitud_coope_fase 2.pdf,.pdf,1.57489013671875,False,PyMuPDF,0
63f7c76b-da7b-41e7-8539-c0d71d1dd5bd1. LRE004 CIE IRVE.pdf,.pdf,0.7848749160766602,False,PyMuPDF,0
090b77eb-55eb-42c2-bc2f-e3ec4ed442562. AU085-1 DR_firmado 2.pdf,.pdf,0.32550525665283203,False,PyMuPDF,0
6eef2a76-8b63-4892-b020-2bf2442eb3ec4. DR Tecnico Hector.docx,.docx,0.02698230743408203,False,python-docx,0
73ac8878-37d3-4e4d-9baa-e83b2f300d27A3A_CEE_V1.pdf,.pdf,0.25525379180908203,False,PyMuPDF,0
92b28f1a-87e9-4b60-bf36-f567d13cbdd23. LRE409 Solicitud COOP_fdo.pdf,.pdf,1.0117254257202148,False,PyMuPDF,0
2332f5bc-c393-493a-aa0e-0832d823dd804. DR Técnico-2-4.pdf,.pdf,0.9737100601196289,False,PyMuPDF,0
36ec9b54-4322-4037-8eea-00388a0c6e1cLRE029 jus_registro_22-11-24.pdf,.pdf,1.019632339477539,False,PyMuPDF,0
6e292647-d2e6-4af4-8a98-c290a3fc6817J01P2-3_fd.pdf,.pdf,0.26378822326660156,False,PyMuPDF,0
38acb9d2-eee4-4cba-9c81-466e033bac224. DR Técnico-2-4.pdf,.pdf,0.9694719314575195,False,PyMuPDF,0
6c766cd2-92ea-4ee2-ab96-64c6fe4af2832. Anexo datos - Autoconsumo.pdf,.pdf,0.2474842071533203,False,PyMuPDF,0
c1f698b8-4c45-4b3d-bb55-15486b4f61bc4. DR Tecnico.pdf,.pdf,1.470510482788086,False,PyMuPDF,0
081a71f2-648e-490c-b5d7-3756a221d454J01. Informe justificativo-247.pdf,.pdf,0.19039440155029297,False,PyMuPDF,0
3e5cc2e5-e3f3-47e1-be5f-449b0df3efa3IMS319_CEE 2º fd.pdf,.pdf,0.2837028503417969,False,PyMuPDF,0
cc106971-5a55-4d94-a5c8-5732b39143ff1. J01 Informe justificativo_LPR08.docx,.docx,0.12175941467285156,False,python-docx,0
39098087-01b6-477f-b387-53b401dc59013. Anexo IRVE.pdf,.pdf,0.5090198516845703,False,PyMuPDF,0
30d4ef04-6850-4112-853d-1d1a9d96235bJ01_LPR-1.pdf,.pdf,0.18524551391601562,False,PyMuPDF,0
96c2115d-c5ee-4fa4-8647-fb2303ac614eDelta B6 2A_CEE_V1_fd.pdf,.pdf,0.28454113006591797,False,PyMuPDF,0
30b96847-e8b3-4b7e-b4af-e52f65c10975AU044 MC PN  3 2A_V1 fd.pdf,.pdf,0.33376502990722656,False,PyMuPDF,0
a794d9b3-b459-4a55-98c0-ce5f80c415b9F3A_CEE_V1_fd.pdf,.pdf,0.30892086029052734,False,PyMuPDF,0
4ea82fc4-dc4c-4d55-b5fb-702a76b7be70Delta B18 1A_CEE_V1.pdf,.pdf,0.224090576171875,False,PyMuPDF,0
443b2a4f-6345-4248-8e8d-274bc01442725.1.  CIE.pdf,.pdf,0.7863063812255859,False,PyMuPDF,0
06bf9c95-54ed-413e-86d6-b9e0bba5b0edDelta B16 2A_CEE_V1_fd.pdf,.pdf,0.2856731414794922,False,PyMuPDF,0
2198b03b-1786-4b23-8c29-2c21e407b22e4. S4-2 CIE.pdf,.pdf,0.7904844284057617,False,PyMuPDF,0
5b71c05c-1644-4064-98df-fa826ecfa0e4CFO_VISAR fd4.pdf,.pdf,0.3325653076171875,False,PyMuPDF,0
9a528210-9a58-40e0-99e9-69b3b801b641AU057 CM T 59 4 0C_V1.pdf,.pdf,0.32156944274902344,False,PyMuPDF,0
